match_id,season,team1,team2,venue,pitch_type,toss_winner,toss_decision,winner
1,2016,Chennai Super Kings,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",batting,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
2,2017,Rajasthan Royals,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",batting,Sunrisers Hyderabad,field,Sunrisers Hyderabad
3,2018,Punjab Kings,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",pace-friendly,Punjab Kings,bat,Kolkata Knight Riders
4,2019,Mumbai Indians,Sunrisers Hyderabad,"Eden Gardens, Kolkata",spin-friendly,Sunrisers Hyderabad,field,Mumbai Indians
5,2020,Delhi Capitals,Chennai Super Kings,"Wankhede Stadium, Mumbai",batting,Chennai Super Kings,field,Chennai Super Kings
6,2021,Chennai Super Kings,Rajasthan Royals,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Chennai Super Kings,field,Rajasthan Royals
7,2022,Delhi Capitals,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",batting,Delhi Capitals,field,Gujarat Titans
8,2023,Royal Challengers Bengaluru,Gujarat Titans,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Gujarat Titans,bat,Gujarat Titans
9,2024,Mumbai Indians,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",batting,Delhi Capitals,field,Mumbai Indians
10,2025,Kolkata Knight Riders,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",pace-friendly,Kolkata Knight Riders,field,Kolkata Knight Riders
11,2016,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Sunrisers Hyderabad,bat,Rajasthan Royals
12,2017,Chennai Super Kings,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chennai",spin-friendly,Royal Challengers Bengaluru,field,Chennai Super Kings
13,2018,Royal Challengers Bengaluru,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",spin-friendly,Royal Challengers Bengaluru,bat,Lucknow Super Giants
14,2019,Rajasthan Royals,Mumbai Indians,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Rajasthan Royals,bat,Mumbai Indians
15,2020,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",balanced,Mumbai Indians,bat,Mumbai Indians
